# BEAST v1.10.4
# Generated Tue Mar 22 15:29:18 PDT 2022 [seed=1647988158365]
# -save_every 100000 -save_state saved_state -beagle_SSE -beagle_thread_count 3 -beagle_scaling dynamic infile.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(untitled0)	yule.birthRate	ycf1and2.gtr.rates.rateAC	ycf1and2.gtr.rates.rateAG	ycf1and2.gtr.rates.rateAT	ycf1and2.gtr.rates.rateCG	ycf1and2.gtr.rates.rateCT	ycf1and2.gtr.rates.rateGT	ycf1and2.frequencies1	ycf1and2.frequencies2	ycf1and2.frequencies3	ycf1and2.frequencies4	ycf1and2.alpha	ccsA-ndhD.gtr.rates.rateAC	ccsA-ndhD.gtr.rates.rateAG	ccsA-ndhD.gtr.rates.rateAT	ccsA-ndhD.gtr.rates.rateCG	ccsA-ndhD.gtr.rates.rateCT	ccsA-ndhD.gtr.rates.rateGT	ccsA-ndhD.frequencies1	ccsA-ndhD.frequencies2	ccsA-ndhD.frequencies3	ccsA-ndhD.frequencies4	ccsA-ndhD.alpha	ycf1and2.nu	ccsA-ndhD.nu	ycf1and2.mu	ccsA-ndhD.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
10000	-11743.347397071731	-299.5875386027208	-11443.759858469011	59.900031382441924	365.4627695962972	44.393712136691015	0.06489504398410771	0.9605405033578704	0.9951432771829307	0.9722969292311782	1.027019502325813	1.0086848969608193	1.0363148909413882	0.2477016026390347	0.2229886701509035	0.1831893670425309	0.3461203601675309	0.19030188879496893	1.0236733933432915	1.0605277950149077	0.9710437088677987	0.9821801133071277	0.9856676452618452	0.9769073442050297	0.31380762506470483	0.18985773105775103	0.19048749643474894	0.3058471474427952	0.1156349568816003	0.7220921908573076	0.27790780914269236	1.094946825793031	0.8161203991371702	0.06624003467687674	1.8789547334831211	9.580576417824839E-4	1.9663317028138265	-0.1315862099583597	-11443.759858469011	-176.11750423849838	-86.62135501509712
11000	-11430.073955431535	-302.25676586346174	-11127.817189568073	62.86127576122935	378.42368566342293	43.82988690301777	0.043327046544527646	0.9666368142536118	0.9959240094020876	0.9674346087761915	1.0205375757336532	1.029506138216691	1.0199608536177647	0.27674836002866166	0.20688620049294595	0.15831261648400943	0.35805282299438296	0.199411594834833	1.024320701257113	1.0610191167683354	0.9710437088677987	0.9708116790930137	1.0023743960190103	0.9704303979947292	0.32690625522161537	0.17998385326170235	0.18860576439461416	0.3045041271220681	0.10343075736650931	0.7398498010295358	0.2601501989704641	1.1218736353305594	0.7639723578633819	0.0658407893295041	1.7695563645210102	8.932188923603533E-4	1.9592069748733143	-0.09343897183977262	-11127.817189568073	-176.11750423849838	-88.59247941390343
12000	-11394.00730882699	-296.650751317199	-11097.356557509791	49.92799603659821	294.7505731209556	36.016270815045914	0.0444673350328124	0.9701799818654793	0.9877138547533746	0.9633125226818243	1.0172917907291235	1.0320340689737546	1.0294677809964436	0.28172029371290874	0.1884971444198082	0.16189041479843305	0.36789214706885004	0.2106487770121966	1.0125341856720402	1.0633419529538337	0.9596853601510134	0.9843042386107905	1.008307808707392	0.9718264539049306	0.33978478710540294	0.17765821631166284	0.17447691097576476	0.30808008560716943	0.14952826511657868	0.7869341717200303	0.21306582827996967	1.1932701728984434	0.6257016287334977	0.07317253438613841	1.589122734299158	0.001139110040853758	1.7923495726500636	-0.10859306412783552	-11097.356557509791	-176.11750423849838	-84.70578176793461
13000	-11370.563380500165	-292.6446662011561	-11077.918714299009	58.367580511594056	334.16405370584516	41.953554650369796	0.0714099018531424	0.9756383532784737	0.9855606971927494	0.9666863067878119	1.0172917907291235	1.0320340689737546	1.0227887830380866	0.2917075105347901	0.17334811250946786	0.16025920467174604	0.37468517228399606	0.2845059516696386	1.009509220431284	1.0867763243211208	0.9511295505054935	0.979143031988399	1.0194324524800997	0.9540094202736034	0.3404491155411065	0.1691898456706228	0.1660779514605584	0.3242830873277122	0.12022656224600609	0.7839124458501606	0.21608755414983918	1.1886881691162083	0.6345754064463607	0.06109823813557297	1.3743673770495186	9.758249125433613E-4	1.6869924848690443	-0.07425456286743744	-11077.918714299009	-176.11750423849838	-84.56695324819722
14000	-11355.597965928358	-289.2035841562752	-11066.394381772083	49.94606382550608	283.09622406901264	37.70823954969734	0.08761413970592498	0.9701129310479595	0.9986970252786859	0.962419550668052	1.0140266695277251	1.038019258461937	1.0167245650156402	0.2917075105347901	0.17711712804892668	0.15624446073314868	0.3749309006831346	0.24247734384244926	1.0254994204677739	1.0873992958855565	0.9339128542205576	0.9849174627387516	1.0291633869238417	0.9391075797635192	0.3532561312540995	0.153932533330797	0.1721149878120441	0.3206963476030593	0.07173623030678988	0.7894731527312879	0.21052684726871193	1.1971201649551704	0.6182455079332165	0.06951829930286274	1.428155169671884	0.0011951892997156186	1.609534400660099	-0.09264065636593634	-11066.394381772083	-176.11750423849838	-80.80392840943883
15000	-11336.414589989037	-288.1226990050137	-11048.291890984023	57.62565817446589	304.7002842139797	40.15817063257278	0.06954806343796925	0.9874140123734825	0.9951368560105932	0.9684343794106262	1.0065463077956427	1.0342917433939711	1.0081767010156844	0.2820254073375665	0.17119141695041862	0.1642982500346561	0.3824849256773589	0.23700758981435663	1.035302626896973	1.0824522626390767	0.9267237501059836	0.9988340262426944	1.0243152862877936	0.932372047827479	0.36453241079803034	0.14589277061601855	0.15415222717778104	0.33542259140817	0.1419616385474034	0.7632518427209035	0.2367481572790964	1.1573593968323104	0.6952485473857233	0.05874270734625988	1.2787443629388524	0.0010613840621582328	1.6262903459021476	-0.06808895511699496	-11048.291890984023	-176.11750423849838	-82.50327041500134
16000	-11321.920700586408	-289.30392066060904	-11032.6167799258	62.03329709100203	346.6640115575898	47.513111363910916	0.06745910567040894	0.9873810339472052	1.0042467300816318	0.9571586494660819	1.0082793553966038	1.0427848934350608	1.0001493376734165	0.26516420750998776	0.1773623668230543	0.15553947223055253	0.40193395343640553	0.2223570441540885	1.0274113039748671	1.0725558208702695	0.9328765690006993	1.0067253491648	1.0243152862877936	0.9361156707015703	0.37284316137362006	0.14235662672396754	0.15709780624127956	0.3277024056611328	0.15704541904783778	0.755129959281333	0.24487004071866691	1.14504375264696	0.7190997474469799	0.04994897817544895	1.1557318772909317	8.527113855937544E-4	1.568885731003081	-0.16019344138955424	-11032.6167799258	-176.11750423849838	-85.39901944004886
17000	-11316.544328168426	-283.72125194323866	-11032.823076225188	57.186726769922075	297.65925643014543	43.75624821981193	0.0835434007240619	0.9908593550021909	1.0074947447259084	0.9571586494660819	1.0050313407523273	1.0465920781944233	0.9928638318590682	0.27123401350949566	0.16609362088237298	0.14901769921098687	0.41365466639714465	0.1949822404645232	1.0144109635180771	1.0686823014146802	0.9408230987373658	0.9981887028118592	1.0281888057433828	0.9497061277746347	0.3726578626496382	0.13918385399736694	0.15709780624127956	0.3310604771117152	0.16283025262588394	0.7704332281192087	0.22956677188079105	1.1682489137752023	0.6741592691257752	0.05231546873368087	1.02689545250041	0.0010314453743402578	1.505051951456886	-0.13546395198493907	-11032.823076225188	-176.11750423849838	-81.96241383835579
18000	-11321.744526477214	-288.0523642281893	-11033.692162249024	58.10844541967582	340.28720982290116	48.21927581504181	0.08247616955671311	0.984129769896722	1.0074947447259084	0.9571586494660819	1.014994405048264	1.0433585990039558	0.9928638318590682	0.27072964036410807	0.16609362088237298	0.14663252278886857	0.4165442159646505	0.2471238053081096	1.0144510935794404	1.0691058693911704	0.9488836156793284	0.9939640320167802	1.0166494929989232	0.9569458963343573	0.38644569068219337	0.14538687125296498	0.15196678378926573	0.3162006542755758	0.11875278363173715	0.7844453779549418	0.2155546220450578	1.1894962824345376	0.633010366718226	0.048811479990886614	0.9869313699198822	0.0010297875511764516	1.5298131715223053	-0.1397370698770532	-11033.692162249024	-176.11750423849838	-85.45624088352862
19000	-11311.41190273384	-285.0494671797996	-11026.362435554041	47.308865345413274	286.42019345032725	40.724486092826695	0.055051089011593585	0.9804701718740535	1.0271701940039912	0.9456607664407762	1.0104638399435146	1.0433711958785963	0.9928638318590682	0.2728628850744072	0.16558000867278932	0.15179295182746255	0.40976415442534103	0.2274380906604018	1.0194567806990318	1.0706097678782867	0.945050023841777	0.9977976238543316	1.0219587633476022	0.9451270403789708	0.388961370530545	0.14507589128923273	0.15109001796861138	0.3148727202116107	0.13584829112157004	0.7536152222882956	0.24638477771170425	1.1427468763153263	0.7235480130900325	0.054277732235391334	1.0565019345880913	0.001084852478154387	1.705752909923581	-0.16165200864432333	-11026.362435554041	-176.11750423849838	-82.45609714134157
